id,lat_down,lat_up,lng_left,lng_right
1,26.369862,26.3744107,106.566514,106.5710627
2,26.369862,26.3744107,106.5710627,106.5756114
3,26.369862,26.3744107,106.5756114,106.5801601
4,26.369862,26.3744107,106.5801601,106.5847088
5,26.369862,26.3744107,106.5847088,106.5892575
6,26.369862,26.3744107,106.5892575,106.5938062
7,26.369862,26.3744107,106.5938062,106.5983549
8,26.369862,26.3744107,106.5983549,106.6029036
9,26.369862,26.3744107,106.6029036,106.6074523
10,26.369862,26.3744107,106.6074523,106.612001
11,26.369862,26.3744107,106.612001,106.6165497
12,26.369862,26.3744107,106.6165497,106.6210984
13,26.369862,26.3744107,106.6210984,106.6256471
14,26.369862,26.3744107,106.6256471,106.6301958
15,26.369862,26.3744107,106.6301958,106.6347445
16,26.369862,26.3744107,106.6347445,106.6392932
17,26.369862,26.3744107,106.6392932,106.6438419
18,26.369862,26.3744107,106.6438419,106.6483906
19,26.369862,26.3744107,106.6483906,106.6529393
20,26.369862,26.3744107,106.6529393,106.657488
21,26.369862,26.3744107,106.657488,106.6620367
22,26.369862,26.3744107,106.6620367,106.6665854
23,26.369862,26.3744107,106.6665854,106.6711341
24,26.369862,26.3744107,106.6711341,106.6756828
25,26.369862,26.3744107,106.6756828,106.6802315
26,26.369862,26.3744107,106.6802315,106.6847802
27,26.369862,26.3744107,106.6847802,106.6893289
28,26.369862,26.3744107,106.6893289,106.6938776
29,26.369862,26.3744107,106.6938776,106.6984263
30,26.369862,26.3744107,106.6984263,106.702975
31,26.369862,26.3744107,106.702975,106.7075237
32,26.369862,26.3744107,106.7075237,106.7120724
33,26.369862,26.3744107,106.7120724,106.7166211
34,26.369862,26.3744107,106.7166211,106.7211698
35,26.369862,26.3744107,106.7211698,106.7257185
36,26.369862,26.3744107,106.7257185,106.7302672
37,26.369862,26.3744107,106.7302672,106.7348159
38,26.369862,26.3744107,106.7348159,106.7393646
39,26.369862,26.3744107,106.7393646,106.7439133
40,26.369862,26.3744107,106.7439133,106.748462
41,26.369862,26.3744107,106.748462,106.7530107
42,26.369862,26.3744107,106.7530107,106.7575594
43,26.369862,26.3744107,106.7575594,106.7621081
44,26.369862,26.3744107,106.7621081,106.7666568
45,26.369862,26.3744107,106.7666568,106.7712055
