id,lat_down,lat_up,lng_left,lng_right
1,26.19699124,26.20153994,106.1480336,106.1525823
2,26.19699124,26.20153994,106.1525823,106.157131
3,26.19699124,26.20153994,106.157131,106.1616797
4,26.19699124,26.20153994,106.1616797,106.1662284
5,26.19699124,26.20153994,106.1662284,106.1707771
6,26.19699124,26.20153994,106.1707771,106.1753258
7,26.19699124,26.20153994,106.1753258,106.1798745
8,26.19699124,26.20153994,106.1798745,106.1844232
9,26.19699124,26.20153994,106.1844232,106.1889719
10,26.19699124,26.20153994,106.1889719,106.1935206
11,26.19699124,26.20153994,106.1935206,106.1980693
12,26.19699124,26.20153994,106.1980693,106.202618
13,26.19699124,26.20153994,106.202618,106.2071667
14,26.19699124,26.20153994,106.2071667,106.2117154
15,26.19699124,26.20153994,106.2117154,106.2162641
16,26.19699124,26.20153994,106.2162641,106.2208128
17,26.19699124,26.20153994,106.2208128,106.2253615
18,26.19699124,26.20153994,106.2253615,106.2299102
19,26.19699124,26.20153994,106.2299102,106.2344589
20,26.19699124,26.20153994,106.2344589,106.2390076
21,26.19699124,26.20153994,106.2390076,106.2435563
22,26.19699124,26.20153994,106.2435563,106.248105
23,26.19699124,26.20153994,106.248105,106.2526537
24,26.19699124,26.20153994,106.2526537,106.2572024
25,26.19699124,26.20153994,106.2572024,106.2617511
26,26.19699124,26.20153994,106.2617511,106.2662998
27,26.19699124,26.20153994,106.2662998,106.2708485
28,26.19699124,26.20153994,106.2708485,106.2753972
29,26.19699124,26.20153994,106.2753972,106.2799459
30,26.19699124,26.20153994,106.2799459,106.2844946
31,26.19699124,26.20153994,106.2844946,106.2890433
32,26.19699124,26.20153994,106.2890433,106.293592
33,26.19699124,26.20153994,106.293592,106.2981407
34,26.19699124,26.20153994,106.2981407,106.3026894
35,26.19699124,26.20153994,106.3026894,106.3072381
36,26.19699124,26.20153994,106.3072381,106.3117868
37,26.19699124,26.20153994,106.3117868,106.3163355
38,26.19699124,26.20153994,106.3163355,106.3208842
39,26.19699124,26.20153994,106.3208842,106.3254329
40,26.19699124,26.20153994,106.3254329,106.3299816
41,26.19699124,26.20153994,106.3299816,106.3345303
42,26.19699124,26.20153994,106.3345303,106.339079
43,26.19699124,26.20153994,106.339079,106.3436277
44,26.19699124,26.20153994,106.3436277,106.3481764
45,26.19699124,26.20153994,106.3481764,106.3527251
46,26.19699124,26.20153994,106.3527251,106.3572738
47,26.19699124,26.20153994,106.3572738,106.3618225
48,26.19699124,26.20153994,106.3618225,106.3663712
49,26.19699124,26.20153994,106.3663712,106.3709199
50,26.19699124,26.20153994,106.3709199,106.3754686
51,26.19699124,26.20153994,106.3754686,106.3800173
52,26.19699124,26.20153994,106.3800173,106.384566
53,26.19699124,26.20153994,106.384566,106.3891147
54,26.19699124,26.20153994,106.3891147,106.3936634
55,26.19699124,26.20153994,106.3936634,106.3982121
56,26.19699124,26.20153994,106.3982121,106.4027608
57,26.19699124,26.20153994,106.4027608,106.4073095
58,26.19699124,26.20153994,106.4073095,106.4118582
59,26.19699124,26.20153994,106.4118582,106.4164069
60,26.19699124,26.20153994,106.4164069,106.4209556
61,26.19699124,26.20153994,106.4209556,106.4255043
62,26.19699124,26.20153994,106.4255043,106.430053
63,26.19699124,26.20153994,106.430053,106.4346017
64,26.19699124,26.20153994,106.4346017,106.4391504
65,26.19699124,26.20153994,106.4391504,106.4436991
66,26.19699124,26.20153994,106.4436991,106.4482478
67,26.19699124,26.20153994,106.4482478,106.4527965
68,26.19699124,26.20153994,106.4527965,106.4573452
69,26.19699124,26.20153994,106.4573452,106.4618939
70,26.19699124,26.20153994,106.4618939,106.4664426
71,26.19699124,26.20153994,106.4664426,106.4709913
72,26.19699124,26.20153994,106.4709913,106.47554
73,26.19699124,26.20153994,106.47554,106.4800887
74,26.19699124,26.20153994,106.4800887,106.4846374
75,26.19699124,26.20153994,106.4846374,106.4891861
76,26.19699124,26.20153994,106.4891861,106.4937348
77,26.19699124,26.20153994,106.4937348,106.4982835
78,26.19699124,26.20153994,106.4982835,106.5028322
79,26.19699124,26.20153994,106.5028322,106.5073809
80,26.19699124,26.20153994,106.5073809,106.5119296
81,26.19699124,26.20153994,106.5119296,106.5164783
82,26.19699124,26.20153994,106.5164783,106.521027
83,26.19699124,26.20153994,106.521027,106.5255757
84,26.19699124,26.20153994,106.5255757,106.5301244
85,26.19699124,26.20153994,106.5301244,106.5346731
86,26.19699124,26.20153994,106.5346731,106.5392218
87,26.19699124,26.20153994,106.5392218,106.5437705
88,26.19699124,26.20153994,106.5437705,106.5483192
89,26.19699124,26.20153994,106.5483192,106.5528679
90,26.19699124,26.20153994,106.5528679,106.5574166
91,26.19699124,26.20153994,106.5574166,106.5619653
92,26.19699124,26.20153994,106.5619653,106.566514
93,26.19699124,26.20153994,106.566514,106.5710627
94,26.19699124,26.20153994,106.5710627,106.5756114
95,26.19699124,26.20153994,106.5756114,106.5801601
96,26.19699124,26.20153994,106.5801601,106.5847088
97,26.19699124,26.20153994,106.5847088,106.5892575
98,26.19699124,26.20153994,106.5892575,106.5938062
99,26.19699124,26.20153994,106.5938062,106.5983549
100,26.19699124,26.20153994,106.5983549,106.6029036
101,26.19699124,26.20153994,106.6029036,106.6074523
102,26.19699124,26.20153994,106.6074523,106.612001
103,26.19699124,26.20153994,106.612001,106.6165497
104,26.19699124,26.20153994,106.6165497,106.6210984
105,26.19699124,26.20153994,106.6210984,106.6256471
106,26.19699124,26.20153994,106.6256471,106.6301958
107,26.19699124,26.20153994,106.6301958,106.6347445
