id,lat_down,lat_up,lng_left,lng_right
1,26.369862,26.3789594,106.566514,106.5756114
2,26.369862,26.3789594,106.5756114,106.5847088
3,26.369862,26.3789594,106.5847088,106.5938062
4,26.369862,26.3789594,106.5938062,106.6029036
5,26.369862,26.3789594,106.6029036,106.612001
6,26.369862,26.3789594,106.612001,106.6210984
7,26.369862,26.3789594,106.6210984,106.6301958
8,26.369862,26.3789594,106.6301958,106.6392932
9,26.369862,26.3789594,106.6392932,106.6483906
10,26.369862,26.3789594,106.6483906,106.657488
11,26.369862,26.3789594,106.657488,106.6665854
12,26.369862,26.3789594,106.6665854,106.6756828
13,26.369862,26.3789594,106.6756828,106.6847802
14,26.369862,26.3789594,106.6847802,106.6938776
15,26.369862,26.3789594,106.6938776,106.702975
16,26.369862,26.3789594,106.702975,106.7120724
17,26.369862,26.3789594,106.7120724,106.7211698
18,26.369862,26.3789594,106.7211698,106.7302672
19,26.369862,26.3789594,106.7302672,106.7393646
20,26.369862,26.3789594,106.7393646,106.748462
21,26.369862,26.3789594,106.748462,106.7575594
22,26.369862,26.3789594,106.7575594,106.7666568
23,26.369862,26.3789594,106.7666568,106.7757542
24,26.369862,26.3789594,106.7757542,106.7848516
25,26.369862,26.3789594,106.7848516,106.793949
26,26.369862,26.3789594,106.793949,106.8030464
27,26.369862,26.3789594,106.8030464,106.8121438
28,26.369862,26.3789594,106.8121438,106.8212412
29,26.369862,26.3789594,106.8212412,106.8303386
30,26.369862,26.3789594,106.8303386,106.839436
31,26.369862,26.3789594,106.839436,106.8485334
32,26.3789594,26.38805681,106.566514,106.5756114
33,26.3789594,26.38805681,106.5756114,106.5847088
34,26.3789594,26.38805681,106.5847088,106.5938062
35,26.3789594,26.38805681,106.5938062,106.6029036
36,26.3789594,26.38805681,106.6029036,106.612001
37,26.3789594,26.38805681,106.612001,106.6210984
38,26.3789594,26.38805681,106.6210984,106.6301958
39,26.3789594,26.38805681,106.6301958,106.6392932
40,26.3789594,26.38805681,106.6392932,106.6483906
41,26.3789594,26.38805681,106.6483906,106.657488
42,26.3789594,26.38805681,106.657488,106.6665854
43,26.3789594,26.38805681,106.6665854,106.6756828
44,26.3789594,26.38805681,106.6756828,106.6847802
45,26.3789594,26.38805681,106.6847802,106.6938776
46,26.3789594,26.38805681,106.6938776,106.702975
47,26.3789594,26.38805681,106.702975,106.7120724
48,26.3789594,26.38805681,106.7120724,106.7211698
49,26.3789594,26.38805681,106.7211698,106.7302672
50,26.3789594,26.38805681,106.7302672,106.7393646
51,26.3789594,26.38805681,106.7393646,106.748462
52,26.3789594,26.38805681,106.748462,106.7575594
53,26.3789594,26.38805681,106.7575594,106.7666568
54,26.3789594,26.38805681,106.7666568,106.7757542
55,26.3789594,26.38805681,106.7757542,106.7848516
56,26.3789594,26.38805681,106.7848516,106.793949
57,26.3789594,26.38805681,106.793949,106.8030464
58,26.3789594,26.38805681,106.8030464,106.8121438
59,26.3789594,26.38805681,106.8121438,106.8212412
60,26.3789594,26.38805681,106.8212412,106.8303386
61,26.3789594,26.38805681,106.8303386,106.839436
62,26.3789594,26.38805681,106.839436,106.8485334
63,26.38805681,26.39715421,106.566514,106.5756114
64,26.38805681,26.39715421,106.5756114,106.5847088
65,26.38805681,26.39715421,106.5847088,106.5938062
66,26.38805681,26.39715421,106.5938062,106.6029036
67,26.38805681,26.39715421,106.6029036,106.612001
68,26.38805681,26.39715421,106.612001,106.6210984
69,26.38805681,26.39715421,106.6210984,106.6301958
70,26.38805681,26.39715421,106.6301958,106.6392932
71,26.38805681,26.39715421,106.6392932,106.6483906
72,26.38805681,26.39715421,106.6483906,106.657488
73,26.38805681,26.39715421,106.657488,106.6665854
74,26.38805681,26.39715421,106.6665854,106.6756828
75,26.38805681,26.39715421,106.6756828,106.6847802
76,26.38805681,26.39715421,106.6847802,106.6938776
77,26.38805681,26.39715421,106.6938776,106.702975
78,26.38805681,26.39715421,106.702975,106.7120724
79,26.38805681,26.39715421,106.7120724,106.7211698
80,26.38805681,26.39715421,106.7211698,106.7302672
81,26.38805681,26.39715421,106.7302672,106.7393646
82,26.38805681,26.39715421,106.7393646,106.748462
83,26.38805681,26.39715421,106.748462,106.7575594
84,26.38805681,26.39715421,106.7575594,106.7666568
85,26.38805681,26.39715421,106.7666568,106.7757542
86,26.38805681,26.39715421,106.7757542,106.7848516
87,26.38805681,26.39715421,106.7848516,106.793949
88,26.38805681,26.39715421,106.793949,106.8030464
89,26.38805681,26.39715421,106.8030464,106.8121438
90,26.38805681,26.39715421,106.8121438,106.8212412
91,26.38805681,26.39715421,106.8212412,106.8303386
92,26.38805681,26.39715421,106.8303386,106.839436
93,26.38805681,26.39715421,106.839436,106.8485334
94,26.39715421,26.40625161,106.566514,106.5756114
95,26.39715421,26.40625161,106.5756114,106.5847088
96,26.39715421,26.40625161,106.5847088,106.5938062
97,26.39715421,26.40625161,106.5938062,106.6029036
98,26.39715421,26.40625161,106.6029036,106.612001
99,26.39715421,26.40625161,106.612001,106.6210984
100,26.39715421,26.40625161,106.6210984,106.6301958
101,26.39715421,26.40625161,106.6301958,106.6392932
102,26.39715421,26.40625161,106.6392932,106.6483906
103,26.39715421,26.40625161,106.6483906,106.657488
104,26.39715421,26.40625161,106.657488,106.6665854
105,26.39715421,26.40625161,106.6665854,106.6756828
106,26.39715421,26.40625161,106.6756828,106.6847802
107,26.39715421,26.40625161,106.6847802,106.6938776
108,26.39715421,26.40625161,106.6938776,106.702975
109,26.39715421,26.40625161,106.702975,106.7120724
