stime,uid,etime,lat,lng,stated,grid
2016-09-05 16:00:00,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:00:00,26.5746709,106.7028807,0,2820.0
2016-09-05 16:04:12,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:25:07,26.57786706,106.6984896,1,2820.0
2016-09-05 16:27:17,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:37:30,26.57334443,106.6962626,1,2757.0
2016-09-05 16:45:08,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:45:08,26.57786706,106.6984896,0,2820.0
2016-09-05 16:45:30,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:45:30,26.57786706,106.6984896,0,2820.0
2016-09-05 16:46:25,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:46:25,26.5777875357,106.6984396782,0,2820.0
2016-09-05 16:49:26,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:49:26,26.57334443,106.6962626,0,2757.0
2016-09-05 16:49:41,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:49:41,26.57334443,106.6962626,0,2757.0
2016-09-05 16:50:02,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:50:02,26.57786706,106.6984896,0,2820.0
2016-09-05 16:50:35,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:50:35,26.57284381,106.6921252,0,2756.0
2016-09-05 16:51:31,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:51:31,26.57786706,106.6984896,0,2820.0
2016-09-05 16:53:25,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:53:25,26.57786706,106.6984896,0,2820.0
2016-09-05 16:53:39,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:53:39,26.57786706,106.6984896,0,2820.0
2016-09-05 16:53:52,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:53:52,26.57786706,106.6984896,0,2820.0
2016-09-05 16:57:44,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:57:44,26.5746709,106.7028807,0,2820.0
2016-09-05 17:15:42,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:15:42,26.587301305300002,106.6697278693,0,2937.0
2016-09-05 17:16:13,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:16:13,26.587301305300002,106.6697278693,0,2937.0
2016-09-05 17:17:16,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:17:16,26.5871891031,106.66327128479999,0,2936.0
2016-09-05 17:17:58,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:17:58,26.583159299000002,106.6534038645,0,2872.0
2016-09-05 17:29:24,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:29:24,26.5957143614,106.6325227448,0,3053.0
2016-09-05 17:34:58,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:34:58,26.5957143614,106.6325227448,0,3053.0
2016-09-05 17:35:03,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:35:03,26.5957143614,106.6325227448,0,3053.0
2016-09-05 17:35:19,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:35:19,26.5957143614,106.6325227448,0,3053.0
2016-09-05 18:28:35,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 18:28:35,26.60062383,106.6375691,0,3116.0
2016-09-05 18:29:07,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 18:29:07,26.60062383,106.6375691,0,3116.0
2016-09-05 18:58:23,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 19:25:03,26.599673176,106.7073879249,1,3131.0
2016-09-05 20:34:30,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 22:22:45,26.577858224,106.69848405309999,1,2820.0
2016-09-05 22:25:21,a1443a38a346cc6023f7a0c7904dc91f,2016-09-06 06:29:46,26.57334443,106.6962626,1,2757.0
2016-09-05 00:15:06,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 08:09:55,26.592490685,106.7079624,1,3008.0
2016-09-05 08:38:53,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 08:50:04,26.5683167539,106.71095562149999,1,2698.0
2016-09-05 09:56:00,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 09:56:00,26.57133366,106.7163297,0,2761.0
2016-09-05 09:56:14,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 09:56:14,26.57133366,106.7163297,0,2761.0
2016-09-05 09:57:53,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 09:57:53,26.56653724,106.7122685,0,2699.0
2016-09-05 10:00:04,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 10:00:04,26.569138826,106.70702781799999,0,2697.0
2016-09-05 10:00:37,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 10:00:37,26.569138826,106.70702781799999,0,2697.0
2016-09-05 10:21:12,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 12:10:15,26.57133366,106.7163297,1,2761.0
2016-09-05 12:11:31,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 12:11:31,26.56653724,106.7122685,0,2699.0
2016-09-05 12:05:40,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 12:21:40,26.56252435,106.7129473,1,2637.0
2016-09-05 12:54:32,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 15:33:39,26.57133366,106.7163297,1,2761.0
2016-09-05 16:16:01,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 16:16:01,26.57031103,106.7119341,0,2760.0
2016-09-05 16:16:25,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 16:16:25,26.57031103,106.7119341,0,2760.0
2016-09-05 17:21:56,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 17:37:56,26.56653724,106.7122685,1,2699.0
