,stime,uid,etime,lat,lng,stated,grid
728,2016-09-05 22:55:27,c1d18497215424f3d08c2d1c7f792255,2016-09-05 22:55:27,26.59377989,106.7415673,0,3077.0
729,2016-09-05 23:01:28,c1d18497215424f3d08c2d1c7f792255,2016-09-05 23:01:28,26.587844114499998,106.7390353931,0,2952.0
730,2016-09-05 23:08:52,c1d18497215424f3d08c2d1c7f792255,2016-09-05 23:08:52,26.595701241399997,106.73884773370001,0,3076.0
731,2016-09-05 23:16:11,c1d18497215424f3d08c2d1c7f792255,2016-09-05 23:59:59,26.5931346958,106.74127150129999,1,3077.0
732,2016-09-05 00:08:44,e0fee6335c7128e4348236168e23f4e1,2016-09-08 08:26:21,26.5896497066,106.5836937332,1,2980.0
733,2016-09-05 00:56:30,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 06:56:40,26.6163677877,106.73085657819999,1,3385.0
734,2016-09-05 07:56:43,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 07:56:43,26.6128654357,106.7253692015,0,3321.0
735,2016-09-05 08:56:45,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 12:22:37,26.59560605,106.7109055667,1,3070.0
736,2016-09-05 12:29:17,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 12:29:17,26.59950028,106.71743459999999,0,3134.0
737,2016-09-05 12:32:31,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 12:32:31,26.59950028,106.71743459999999,0,3134.0
738,2016-09-05 12:33:11,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 12:33:11,26.5958255401,106.71565588930001,0,3071.0
739,2016-09-05 13:01:59,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 15:18:16,26.5956588822,106.7111705333,1,3070.0
740,2016-09-05 15:10:45,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 15:26:45,26.5958255401,106.71565588930001,1,3071.0
741,2016-09-05 16:19:30,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 18:02:18,26.595770398499997,106.7113977615,1,3070.0
742,2016-09-05 19:02:21,5e5d6e158939f88ef6aaa7128aabf271,2016-09-05 23:59:59,26.616368891700002,106.730602439,1,3385.0
743,2016-09-05 13:59:29,7a09c4796bd8963aa030b357fa288ea4,2016-09-10 10:37:58,26.3811399668,106.6480752044,1,142.0
744,2016-09-05 00:39:09,86801c572499eeec5d53ea869912c184,2016-09-05 10:44:44,26.61170916,106.6450543708,1,3304.0
745,2016-09-05 11:44:46,86801c572499eeec5d53ea869912c184,2016-09-05 11:44:46,26.60826922,106.6480452,0,3242.0
746,2016-09-05 11:51:51,86801c572499eeec5d53ea869912c184,2016-09-05 11:51:51,26.61222146,106.6459664,0,3304.0
747,2016-09-05 11:51:58,86801c572499eeec5d53ea869912c184,2016-09-05 11:51:58,26.61222146,106.6459664,0,3304.0
748,2016-09-05 12:06:16,86801c572499eeec5d53ea869912c184,2016-09-05 12:06:16,26.60808863,106.6472507,0,3242.0
749,2016-09-05 12:07:03,86801c572499eeec5d53ea869912c184,2016-09-05 12:07:03,26.605875399999995,106.64034140000001,0,3179.0
750,2016-09-05 12:07:18,86801c572499eeec5d53ea869912c184,2016-09-05 12:07:18,26.605875399999995,106.64034140000001,0,3179.0
751,2016-09-05 12:07:43,86801c572499eeec5d53ea869912c184,2016-09-05 12:07:43,26.605875399999995,106.64034140000001,0,3179.0
752,2016-09-05 12:08:36,86801c572499eeec5d53ea869912c184,2016-09-05 12:08:36,26.60808863,106.6472507,0,3242.0
753,2016-09-05 12:08:41,86801c572499eeec5d53ea869912c184,2016-09-05 12:08:41,26.60808863,106.6472507,0,3242.0
754,2016-09-05 13:08:43,86801c572499eeec5d53ea869912c184,2016-09-05 16:39:54,26.61172353,106.6449436,1,3304.0
755,2016-09-05 17:04:08,86801c572499eeec5d53ea869912c184,2016-09-05 17:20:08,26.61314177860001,106.6404851086,1,3303.0
756,2016-09-05 17:16:42,86801c572499eeec5d53ea869912c184,2016-09-05 19:08:09,26.61172353,106.6449436,1,3304.0
757,2016-09-05 19:13:37,86801c572499eeec5d53ea869912c184,2016-09-05 19:13:37,26.60992661,106.6399104,0,3241.0
758,2016-09-05 19:15:04,86801c572499eeec5d53ea869912c184,2016-09-05 19:15:04,26.60992661,106.6399104,0,3241.0
759,2016-09-05 19:15:33,86801c572499eeec5d53ea869912c184,2016-09-05 19:15:33,26.61222146,106.6459664,0,3304.0
760,2016-09-05 19:15:39,86801c572499eeec5d53ea869912c184,2016-09-05 19:15:39,26.61222146,106.6459664,0,3304.0
761,2016-09-05 19:15:53,86801c572499eeec5d53ea869912c184,2016-09-05 19:15:53,26.611723529699997,106.64494363530001,0,3304.0
762,2016-09-05 19:17:15,86801c572499eeec5d53ea869912c184,2016-09-05 19:17:15,26.611398936799997,106.6451478143,0,3304.0
763,2016-09-05 19:17:51,86801c572499eeec5d53ea869912c184,2016-09-05 19:17:51,26.611723529699997,106.64494363530001,0,3304.0
764,2016-09-05 19:19:09,86801c572499eeec5d53ea869912c184,2016-09-05 19:19:09,26.61314178,106.6404851,0,3303.0
765,2016-09-05 19:21:00,86801c572499eeec5d53ea869912c184,2016-09-05 19:21:00,26.61314178,106.6404851,0,3303.0
766,2016-09-05 19:21:09,86801c572499eeec5d53ea869912c184,2016-09-05 19:21:09,26.61314178,106.6404851,0,3303.0
767,2016-09-05 19:25:26,86801c572499eeec5d53ea869912c184,2016-09-05 19:25:26,26.61937902,106.6477244,0,3366.0
768,2016-09-05 19:25:56,86801c572499eeec5d53ea869912c184,2016-09-05 19:25:56,26.61937902,106.6477244,0,3366.0
769,2016-09-05 19:26:37,86801c572499eeec5d53ea869912c184,2016-09-05 19:26:37,26.61172353,106.6449436,0,3304.0
770,2016-09-05 19:26:49,86801c572499eeec5d53ea869912c184,2016-09-05 19:26:49,26.61172353,106.6449436,0,3304.0
771,2016-09-05 19:27:29,86801c572499eeec5d53ea869912c184,2016-09-05 19:27:29,26.61314178,106.6404851,0,3303.0
772,2016-09-05 19:27:47,86801c572499eeec5d53ea869912c184,2016-09-05 19:27:47,26.61314178,106.6404851,0,3303.0
773,2016-09-05 19:28:01,86801c572499eeec5d53ea869912c184,2016-09-05 19:28:01,26.61314178,106.6404851,0,3303.0
774,2016-09-05 19:28:12,86801c572499eeec5d53ea869912c184,2016-09-05 19:28:12,26.61314178,106.6404851,0,3303.0
775,2016-09-05 19:28:42,86801c572499eeec5d53ea869912c184,2016-09-05 21:24:55,26.6117373614,106.64497201110001,1,3304.0
776,2016-09-05 21:57:33,86801c572499eeec5d53ea869912c184,2016-09-05 22:13:33,26.61314178,106.6404851,1,3303.0
777,2016-09-05 23:05:35,86801c572499eeec5d53ea869912c184,2016-09-05 23:59:59,26.6119785673,106.6454674732,1,3304.0
778,2016-09-05 08:14:59,8cc817dd42d928a495242b2186f65d2c,2016-09-05 10:53:17,26.5982688575,106.7132404417,1,3133.0
779,2016-09-05 10:54:44,8cc817dd42d928a495242b2186f65d2c,2016-09-05 10:54:44,26.5954288,106.71003020000002,0,3070.0
780,2016-09-05 10:54:52,8cc817dd42d928a495242b2186f65d2c,2016-09-05 10:54:52,26.5954288,106.71003020000002,0,3070.0
781,2016-09-05 10:57:34,8cc817dd42d928a495242b2186f65d2c,2016-09-05 15:01:13,26.597989452199997,106.71376641049999,1,3133.0
782,2016-09-05 15:01:44,8cc817dd42d928a495242b2186f65d2c,2016-09-05 15:01:44,26.59899614,106.70868899999999,0,3132.0
783,2016-09-05 15:58:08,8cc817dd42d928a495242b2186f65d2c,2016-09-05 16:13:45,26.63955023,106.62631259999999,1,3672.0
784,2016-09-05 16:27:33,8cc817dd42d928a495242b2186f65d2c,2016-09-05 16:27:33,26.62296236,106.61257720000002,0,3421.0
785,2016-09-05 16:28:00,8cc817dd42d928a495242b2186f65d2c,2016-09-05 16:28:00,26.62559262,106.61763700000002,0,3484.0
786,2016-09-05 16:37:55,8cc817dd42d928a495242b2186f65d2c,2016-09-05 16:37:55,26.61867461,106.6262295,0,3362.0
787,2016-09-05 16:38:12,8cc817dd42d928a495242b2186f65d2c,2016-09-05 16:38:12,26.61867461,106.6262295,0,3362.0
788,2016-09-05 16:38:25,8cc817dd42d928a495242b2186f65d2c,2016-09-05 16:38:25,26.61867461,106.6262295,0,3362.0
789,2016-09-05 16:38:33,8cc817dd42d928a495242b2186f65d2c,2016-09-05 16:38:33,26.61867461,106.6262295,0,3362.0
790,2016-09-05 16:46:07,8cc817dd42d928a495242b2186f65d2c,2016-09-05 16:56:27,26.61705580000001,106.6211763,1,3361.0
791,2016-09-05 18:13:50,8cc817dd42d928a495242b2186f65d2c,2016-09-05 18:29:50,26.618674613200003,106.62622950030001,1,3362.0
792,2016-09-05 18:22:55,8cc817dd42d928a495242b2186f65d2c,2016-09-05 19:48:35,26.61728193,106.61947859999998,1,3360.0
793,2016-09-05 19:52:11,8cc817dd42d928a495242b2186f65d2c,2016-09-05 19:52:11,26.62004698,106.63201459999999,0,3425.0
794,2016-09-05 19:58:16,8cc817dd42d928a495242b2186f65d2c,2016-09-05 19:58:16,26.62004698,106.63201459999999,0,3425.0
795,2016-09-05 19:59:14,8cc817dd42d928a495242b2186f65d2c,2016-09-05 19:59:14,26.62004698,106.63201459999999,0,3425.0
796,2016-09-05 09:49:59,7e62dc50a5e480564bd6ab4789229b71,2016-09-05 09:49:59,26.51536863,106.7065932,0,1953.0
797,2016-09-05 09:50:22,7e62dc50a5e480564bd6ab4789229b71,2016-09-05 09:50:22,26.51536863,106.7065932,0,1953.0
798,2016-09-05 09:51:01,7e62dc50a5e480564bd6ab4789229b71,2016-09-05 09:51:01,26.51536863,106.7065932,0,1953.0
799,2016-09-05 10:27:31,7e62dc50a5e480564bd6ab4789229b71,2016-09-05 10:27:31,26.5190178827,106.7062831622,0,2015.0
800,2016-09-05 10:27:55,7e62dc50a5e480564bd6ab4789229b71,2016-09-07 11:37:18,26.515577615799998,106.7045760323,1,2015.0
801,2016-09-05 13:03:57,f8c83b038608b03503302b9171e43a3c,2016-09-05 13:19:57,26.6887529657,106.6601924736,1,4361.0
802,2016-09-05 14:06:13,f8c83b038608b03503302b9171e43a3c,2016-09-05 22:47:50,26.6918394813,106.6664445377,1,4362.0
803,2016-09-05 00:17:45,0d69a07015d3b541179f3553847e810b,2016-09-05 00:17:45,26.64290465,106.65086629999999,0,3739.0
804,2016-09-05 01:17:48,0d69a07015d3b541179f3553847e810b,2016-09-05 01:17:48,26.64139588,106.65484769999999,0,3678.0
805,2016-09-05 02:17:53,0d69a07015d3b541179f3553847e810b,2016-09-05 02:17:53,26.64290465,106.65086629999999,0,3739.0
806,2016-09-05 03:17:57,0d69a07015d3b541179f3553847e810b,2016-09-05 03:17:57,26.64139588,106.65484769999999,0,3678.0
807,2016-09-05 04:18:04,0d69a07015d3b541179f3553847e810b,2016-09-05 09:33:36,26.6424568747,106.6504419364,1,3677.0
808,2016-09-05 09:33:55,0d69a07015d3b541179f3553847e810b,2016-09-05 09:33:55,26.64139588,106.65484769999999,0,3678.0
809,2016-09-05 09:34:24,0d69a07015d3b541179f3553847e810b,2016-09-05 09:34:24,26.64139588,106.65484769999999,0,3678.0
810,2016-09-05 09:38:42,0d69a07015d3b541179f3553847e810b,2016-09-05 09:38:42,26.64175536,106.6497771,0,3677.0
811,2016-09-05 09:38:49,0d69a07015d3b541179f3553847e810b,2016-09-05 09:38:49,26.64175536,106.6497771,0,3677.0
812,2016-09-05 09:39:06,0d69a07015d3b541179f3553847e810b,2016-09-05 09:39:06,26.64175536,106.6497771,0,3677.0
