id,lat_down,lat_up,lng_left,lng_right
26.57000486,26.57455356,106.7166211,106.7211698
26.57000486,26.57455356,106.7211698,106.7257185
26.57000486,26.57455356,106.7257185,106.7302672
26.57000486,26.57455356,106.7302672,106.7348159
26.57455356,26.57910226,106.7166211,106.7211698
26.57455356,26.57910226,106.7211698,106.7257185
26.57455356,26.57910226,106.7257185,106.7302672
26.57455356,26.57910226,106.7302672,106.7348159
26.57910226,26.58365096,106.7166211,106.7211698
26.57910226,26.58365096,106.7211698,106.7257185
26.57910226,26.58365096,106.7257185,106.7302672
26.57910226,26.58365096,106.7302672,106.7348159
26.58365096,26.58819967,106.7166211,106.7211698
26.58365096,26.58819967,106.7211698,106.7257185
26.58365096,26.58819967,106.7257185,106.7302672
26.58365096,26.58819967,106.7302672,106.7348159
