starttime,uid,endtime,latitude,longitude,state
2016-09-05 08:22:25,912ba5da04c03e75f2137f85b1a76e24,2016-09-05 09:16:48,26.639267564126,106.78963655469,stay
2016-09-05 09:59:08,912ba5da04c03e75f2137f85b1a76e24,2016-09-05 15:28:46,26.639764244774,106.79645431958002,stay
2016-09-05 16:14:48,912ba5da04c03e75f2137f85b1a76e24,2016-09-05 16:30:48,26.639267564126,106.78963655469,stay
2016-09-05 17:12:20,912ba5da04c03e75f2137f85b1a76e24,2016-09-06 12:27:57,26.639764244774014,106.79645431958004,stay
2016-09-05 00:29:02,09993f5146450150a05555928baaf49d,2016-09-05 09:30:43,27.00039878872201,106.44796204874001,stay
2016-09-05 10:22:43,09993f5146450150a05555928baaf49d,2016-09-05 10:38:43,26.998516116806996,106.44165338251,stay
2016-09-05 11:30:45,09993f5146450150a05555928baaf49d,2016-09-06 08:19:21,26.999789615146714,106.44840268529295,stay
2016-09-05 00:12:20,a6be75d9512f51224cc24619e83d0217,2016-09-05 06:09:57,27.065834840000004,106.79857790000004,stay
2016-09-05 12:11:55,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:11:55,26.60082934,106.7755159,normal
2016-09-05 12:12:06,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:12:06,26.60082934,106.7755159,normal
2016-09-05 12:12:26,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:12:26,26.60082934,106.7755159,normal
2016-09-05 12:13:00,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:13:00,26.60082934,106.7755159,normal
2016-09-05 12:13:17,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:13:17,26.60082934,106.7755159,normal
2016-09-05 12:13:27,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:13:27,26.60082934,106.7755159,normal
2016-09-05 12:29:47,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:48:35,26.686907237379998,106.89036311678,stay
2016-09-05 13:01:55,a6be75d9512f51224cc24619e83d0217,2016-09-05 13:01:55,26.60082934,106.7755159,normal
2016-09-05 13:20:36,a6be75d9512f51224cc24619e83d0217,2016-09-05 13:20:36,26.68005232,106.89938219999999,normal
2016-09-05 13:27:11,a6be75d9512f51224cc24619e83d0217,2016-09-05 13:27:11,26.686907237379998,106.89036311678,normal
2016-09-05 13:29:09,a6be75d9512f51224cc24619e83d0217,2016-09-05 13:29:09,26.686907237379998,106.89036311678,normal
2016-09-05 13:31:07,a6be75d9512f51224cc24619e83d0217,2016-09-05 13:31:07,26.686907237379998,106.89036311678,normal
2016-09-05 13:53:53,a6be75d9512f51224cc24619e83d0217,2016-09-05 13:53:53,26.61457003,106.7691274,normal
2016-09-05 13:58:02,a6be75d9512f51224cc24619e83d0217,2016-09-05 13:58:02,26.614570034609,106.76912741829001,normal
2016-09-05 14:14:19,a6be75d9512f51224cc24619e83d0217,2016-09-05 14:14:19,26.659935484715,106.85961415160999,normal
2016-09-05 14:19:28,a6be75d9512f51224cc24619e83d0217,2016-09-05 14:19:28,26.68005232,106.89938219999999,normal
2016-09-05 14:28:18,a6be75d9512f51224cc24619e83d0217,2016-09-05 14:28:18,26.68005232,106.89938219999999,normal
2016-09-05 14:46:17,a6be75d9512f51224cc24619e83d0217,2016-09-05 14:46:17,26.659935484715,106.85961415160999,normal
2016-09-05 14:46:49,a6be75d9512f51224cc24619e83d0217,2016-09-05 14:46:49,26.659935484715,106.85961415160999,normal
2016-09-05 14:51:42,a6be75d9512f51224cc24619e83d0217,2016-09-05 14:51:42,26.686907237379998,106.89036311678,normal
2016-09-05 15:09:03,a6be75d9512f51224cc24619e83d0217,2016-09-05 15:09:03,26.68005232,106.89938219999999,normal
2016-09-05 15:24:17,a6be75d9512f51224cc24619e83d0217,2016-09-05 15:45:49,26.659935484715,106.85961415160999,stay
2016-09-05 16:06:29,a6be75d9512f51224cc24619e83d0217,2016-09-05 16:46:31,26.68005232,106.89938219999999,stay
2016-09-05 17:03:14,a6be75d9512f51224cc24619e83d0217,2016-09-05 17:03:14,26.70184311,106.8484351,normal
2016-09-05 17:08:21,a6be75d9512f51224cc24619e83d0217,2016-09-05 17:08:21,26.686907237379998,106.89036311678,normal
