stime,uid,etime,lat,lng,stated,grid
2016-09-05 00:55:13,6f8889517c1367f4ff169afb92b6790c,2016-09-05 05:55:29,26.6126462021,106.7301329862,1,22423
2016-09-05 06:37:33,6f8889517c1367f4ff169afb92b6790c,2016-09-05 06:37:33,26.60244766,106.7255018,0,21932
2016-09-05 06:39:13,6f8889517c1367f4ff169afb92b6790c,2016-09-05 06:39:13,26.6043314855,106.7230762518,0,21932
2016-09-05 06:41:06,6f8889517c1367f4ff169afb92b6790c,2016-09-05 06:41:06,26.60244725,106.7149335,0,21930
2016-09-05 06:41:36,6f8889517c1367f4ff169afb92b6790c,2016-09-05 06:41:36,26.5976570967,106.7174861786,0,21686
2016-09-05 07:21:19,6f8889517c1367f4ff169afb92b6790c,2016-09-05 07:21:19,26.5426532574,106.7046583588,0,18498
2016-09-05 07:52:53,6f8889517c1367f4ff169afb92b6790c,2016-09-05 07:52:53,26.5126611911,106.6834312306,0,17023
2016-09-05 07:58:45,6f8889517c1367f4ff169afb92b6790c,2016-09-05 07:58:45,26.4966991938,106.6763448636,0,16042
2016-09-05 08:52:48,6f8889517c1367f4ff169afb92b6790c,2016-09-05 14:43:56,26.4888546572,106.6466596993,1,15790
2016-09-05 15:29:58,6f8889517c1367f4ff169afb92b6790c,2016-09-05 15:45:58,26.4787575473,106.6375336713,1,15053
2016-09-05 16:32:02,6f8889517c1367f4ff169afb92b6790c,2016-09-05 18:23:31,26.4888546572,106.6466596993,1,15790
2016-09-05 19:17:34,6f8889517c1367f4ff169afb92b6790c,2016-09-05 19:17:34,26.5008622223,106.6629426583,0,16284
2016-09-05 19:24:44,6f8889517c1367f4ff169afb92b6790c,2016-09-05 19:24:44,26.5126611911,106.6834312306,0,17023
2016-09-05 19:26:39,6f8889517c1367f4ff169afb92b6790c,2016-09-05 19:26:39,26.5098232395,106.6878000088,0,16779
2016-09-05 19:49:31,6f8889517c1367f4ff169afb92b6790c,2016-09-05 19:49:31,26.5468877377,106.7051036239,0,18743
2016-09-05 20:02:19,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:02:19,26.56624804,106.720179,0,19971
2016-09-05 20:03:19,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:03:19,26.559176863,106.7130960639,0,19480
2016-09-05 20:44:21,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:44:21,26.60244766,106.7255018,0,21932
2016-09-05 20:45:42,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:45:42,26.6066196473,106.7245540245,0,22177
2016-09-05 20:59:37,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:59:37,26.6126462021,106.7301329862,0,22423
2016-09-05 21:30:36,6f8889517c1367f4ff169afb92b6790c,2016-09-05 21:30:36,26.6228756973,106.7461481602,0,22917
2016-09-05 21:35:01,6f8889517c1367f4ff169afb92b6790c,2016-09-06 06:42:59,26.6247010221,106.7539119767,1,23164
2016-09-05 08:48:14,ae52aa118255eabb2b236e7b92a85529,2016-09-06 18:35:27,26.4695639397,106.6745267505,1,14571
2016-09-05 00:28:18,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 00:28:18,26.57786706,106.6984896,0,20457
2016-09-05 00:30:11,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 00:30:11,26.57334443,106.6962626,0,20211
2016-09-05 00:30:54,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:21:37,26.57786706,106.6984896,1,20457
2016-09-05 09:25:42,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:25:42,26.5747395,106.7212302,0,20462
2016-09-05 09:25:54,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:25:54,26.5747395,106.7212302,0,20462
2016-09-05 09:31:54,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:31:54,26.57334443,106.6962626,0,20211
2016-09-05 09:32:02,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:32:02,26.57334443,106.6962626,0,20211
2016-09-05 09:32:54,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:32:54,26.57334443,106.6962626,0,20211
2016-09-05 09:33:45,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:33:45,26.57334443,106.6962626,0,20211
2016-09-05 09:34:10,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:34:10,26.57334443,106.6962626,0,20211
2016-09-05 09:39:16,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:39:16,26.5496026,106.7261835,0,18993
2016-09-05 09:43:40,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 10:58:51,26.5780753,106.7003608286,1,20457
2016-09-05 10:59:53,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 12:58:32,26.57284381,106.6921252,1,20210
2016-09-05 13:04:55,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 14:22:00,26.57786706,106.6984896,1,20457
2016-09-05 14:41:53,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 15:01:26,26.57284381,106.6921252,1,20210
2016-09-05 15:02:11,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 15:02:11,26.57786706,106.6984896,0,20457
2016-09-05 15:03:09,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 15:03:09,26.57786706,106.6984896,0,20457
2016-09-05 15:03:56,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 15:56:21,26.57284381,106.6921252,1,20210
2016-09-05 15:58:58,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 15:58:58,26.58004735,106.701393,0,20702
2016-09-05 16:00:00,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:00:00,26.5746709,106.7028807,0,20457
2016-09-05 16:04:12,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:25:07,26.57786706,106.6984896,1,20457
2016-09-05 16:27:17,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:37:30,26.57334443,106.6962626,1,20211
2016-09-05 16:45:08,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:45:08,26.57786706,106.6984896,0,20457
2016-09-05 16:45:30,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:45:30,26.57786706,106.6984896,0,20457
2016-09-05 16:46:25,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:46:25,26.5777875357,106.6984396782,0,20457
2016-09-05 16:49:26,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:49:26,26.57334443,106.6962626,0,20211
2016-09-05 16:49:41,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:49:41,26.57334443,106.6962626,0,20211
2016-09-05 16:50:02,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:50:02,26.57786706,106.6984896,0,20457
2016-09-05 16:50:35,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:50:35,26.57284381,106.6921252,0,20210
2016-09-05 16:51:31,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:51:31,26.57786706,106.6984896,0,20457
2016-09-05 16:53:25,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:53:25,26.57786706,106.6984896,0,20457
2016-09-05 16:53:39,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:53:39,26.57786706,106.6984896,0,20457
2016-09-05 16:53:52,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:53:52,26.57786706,106.6984896,0,20457
2016-09-05 16:57:44,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 16:57:44,26.5746709,106.7028807,0,20457
2016-09-05 17:15:42,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:15:42,26.5873013053,106.6697278693,0,20940
2016-09-05 17:16:13,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:16:13,26.5873013053,106.6697278693,0,20940
2016-09-05 17:17:16,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:17:16,26.5871891031,106.6632712848,0,20939
2016-09-05 17:17:58,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:17:58,26.583159299,106.6534038645,0,20692
2016-09-05 17:29:24,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:29:24,26.5957143614,106.6325227448,0,21422
